epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,16404.6,1.90343,1.36328,1.41807,0.6703,0.64,0.65501,0.19803,2.53408,1.54887,2.13834,0.0011684,0.0011684,0.0011684
44,16786,1.88374,1.34047,1.40272,0.71407,0.65,0.67656,0.20006,2.44793,1.52126,2.06987,0.0011486,0.0011486,0.0011486
45,17168,1.89674,1.34029,1.42053,0.75955,0.56861,0.66587,0.1889,2.53185,1.56385,2.10302,0.0011288,0.0011288,0.0011288
46,17549.8,1.88392,1.32919,1.41244,0.75321,0.66,0.66152,0.20064,2.54496,1.6588,2.13753,0.001109,0.001109,0.001109
47,17932.4,1.90423,1.33597,1.41886,0.61914,0.65,0.62296,0.19703,2.49219,1.5778,1.97979,0.0010892,0.0010892,0.0010892
48,18313.6,1.88546,1.32728,1.41006,0.71166,0.64174,0.66891,0.19602,2.45869,1.50399,1.96961,0.0010694,0.0010694,0.0010694
49,18695.5,1.86239,1.29843,1.391,0.70207,0.66,0.65969,0.20608,2.44317,1.59943,2.07552,0.0010496,0.0010496,0.0010496
50,19077.1,1.87137,1.31817,1.40522,0.74003,0.59,0.64731,0.18891,2.55011,1.60082,2.02021,0.0010298,0.0010298,0.0010298
51,19460.9,1.85959,1.28341,1.39255,0.66197,0.6,0.59559,0.18626,2.56519,1.58542,2.15315,0.00101,0.00101,0.00101
52,19843.9,1.86062,1.27531,1.39986,0.62651,0.65,0.62899,0.18661,2.42165,1.64236,1.91196,0.0009902,0.0009902,0.0009902
53,20226.1,1.86006,1.27114,1.40292,0.72472,0.63185,0.64418,0.19731,2.43225,1.5587,1.96431,0.0009704,0.0009704,0.0009704
54,20607.9,1.84143,1.24655,1.3911,0.69158,0.62787,0.62598,0.19875,2.48564,1.55475,2.00936,0.0009506,0.0009506,0.0009506
55,20991.5,1.81227,1.24635,1.38441,0.71838,0.57,0.60917,0.19843,2.48394,1.51388,2.07584,0.0009308,0.0009308,0.0009308
56,21382.8,1.80844,1.21486,1.35459,0.6487,0.62786,0.60558,0.19202,2.55733,1.59801,2.11237,0.000911,0.000911,0.000911
